2026-02-06T09:00:00Z INFO  request_id=REQ-021263 ip=198.51.100.91 method=POST path=/api/profile status=200 ua="Mozilla/5.0 (X11; Linux x86_64) Firefox/122.0"
2026-02-06T09:00:12Z INFO  request_id=REQ-480880 ip=203.0.113.139 method=GET path=/api/login status=201 ua="Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Chrome/144.0.0.0"
2026-02-06T09:00:13Z INFO  request_id=REQ-891039 ip=198.51.100.74 method=DELETE path=/api/upload status=403 ua="Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Chrome/144.0.0.0"
2026-02-06T09:00:14Z INFO  request_id=REQ-557055 ip=203.0.113.41 method=GET path=/api/search?q=phones%20or%201=1 status=200 ua="Mozilla/5.0 (X11; Linux x86_64) Firefox/122.0"
2026-02-06T09:00:15Z INFO  request_id=REQ-084955 ip=192.0.2.159 method=GET path=/download status=500 ua="Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/144.0.0.0"
2026-02-06T09:00:16Z INFO  request_id=REQ-272362 ip=198.51.100.238 method=GET path=/api/search status=403 ua="Mozilla/5.0 (X11; Linux x86_64) Firefox/122.0"
2026-02-06T09:00:17Z INFO  request_id=REQ-229883 ip=192.0.2.113 method=PUT path=/api/upload status=200 ua="Mozilla/5.0 (X11; Linux x86_64) Firefox/122.0"
2026-02-06T09:00:18Z INFO  request_id=REQ-182871 ip=198.51.100.155 method=POST path=/api/items status=201 ua="Mozilla/5.0 (X11; Linux x86_64) Firefox/122.0"
2026-02-06T09:00:19Z INFO  request_id=REQ-498042 ip=192.0.2.86 method=POST path=/api/profile status=200 ua="Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/144.0.0.0"
2026-02-06T09:00:20Z INFO  request_id=REQ-519610 ip=198.51.100.150 method=POST path=/download status=200 ua="Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Chrome/144.0.0.0"
2026-02-06T09:00:21Z INFO  request_id=REQ-822178 ip=198.51.100.250 method=POST path=/api/campaign/1817/creative status=200 ua="Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/144.0.0.0" headers="Authorization: Bearer FAKE_TOKEN_XAJI0Y6DPBHS"
2026-02-06T09:00:22Z INFO  request_id=REQ-073988 ip=192.0.2.69 method=POST path=/api/search?q=1%20union%20select%20username,password%20from%20users status=401 ua="Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Chrome/144.0.0.0"
2026-02-06T09:00:23Z INFO  request_id=REQ-193882 ip=203.0.113.50 method=DELETE path=/api/search?q=1%20union%20select%20username,password%20from%20users status=204 ua="Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/144.0.0.0"
2026-02-06T09:00:24Z INFO  request_id=REQ-639591 ip=198.51.100.46 method=PUT path=/api/search status=200 ua="Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/144.0.0.0"
2026-02-06T09:00:25Z INFO  request_id=REQ-653527 ip=192.0.2.134 method=POST path=/api/items status=401 ua="Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/144.0.0.0"
2026-02-06T09:00:26Z INFO  request_id=REQ-661956 ip=198.51.100.104 method=PUT path=/api/upload status=200 ua="Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/144.0.0.0"
2026-02-06T09:00:27Z INFO  request_id=REQ-696350 ip=198.51.100.54 method=DELETE path=/api/items status=403 ua="Mozilla/5.0 (X11; Linux x86_64) Firefox/122.0"
2026-02-06T09:00:28Z INFO  request_id=REQ-497105 ip=203.0.113.159 method=PUT path=/api/login status=201 ua="Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Chrome/144.0.0.0"
2026-02-06T09:00:29Z INFO  request_id=REQ-109674 ip=203.0.113.148 method=POST path=/download status=403 ua="Mozilla/5.0 (X11; Linux x86_64) Firefox/122.0"
2026-02-06T09:00:30Z INFO  request_id=REQ-077141 ip=203.0.113.133 method=DELETE path=/api/search status=404 ua="Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/144.0.0.0"
2026-02-06T09:00:31Z INFO  request_id=REQ-695986 ip=203.0.113.229 method=DELETE path=/download?path=../config/.env status=403 ua="Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/144.0.0.0"
2026-02-06T09:00:32Z INFO  request_id=REQ-226756 ip=198.51.100.113 method=GET path=/api/profile status=201 ua="Mozilla/5.0 (X11; Linux x86_64) Firefox/122.0"
2026-02-06T09:00:33Z INFO  request_id=REQ-013124 ip=198.51.100.139 method=DELETE path=/download status=200 ua="Mozilla/5.0 (X11; Linux x86_64) Firefox/122.0"
2026-02-06T09:00:34Z INFO  request_id=REQ-908549 ip=198.51.100.193 method=DELETE path=/download status=404 ua="Mozilla/5.0 (X11; Linux x86_64) Firefox/122.0"
2026-02-06T09:00:35Z INFO  request_id=REQ-842436 ip=198.51.100.186 method=POST path=/health status=200 ua="Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Chrome/144.0.0.0" user_email=test.user@example.com action=reset_password
2026-02-06T09:00:36Z INFO  request_id=REQ-614032 ip=198.51.100.87 method=DELETE path=/api/profile status=401 ua="Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Chrome/144.0.0.0"
2026-02-06T09:00:37Z INFO  request_id=REQ-709209 ip=192.0.2.194 method=GET path=/api/campaign/1816/creative status=200 ua="Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/144.0.0.0" headline="Brand A & Brand B - Spring Launch"
2026-02-06T09:00:38Z INFO  request_id=REQ-652671 ip=203.0.113.247 method=GET path=/api/campaign/1816/creative status=204 ua="Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/144.0.0.0" ref="https://example.com/"
2026-02-06T09:00:39Z INFO  request_id=REQ-593915 ip=203.0.113.63 method=GET path=/api/campaign/1816/creative status=201 ua="Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/144.0.0.0" headline="Cats & Dogs Awareness Month"
2026-02-06T09:00:40Z INFO  request_id=REQ-606044 ip=198.51.100.246 method=PUT path=/health status=200 ua="Mozilla/5.0 (X11; Linux x86_64) Firefox/122.0"
2026-02-06T09:00:41Z INFO  request_id=REQ-285447 ip=198.51.100.83 method=POST path=/api/search?q=phones%20or%201=1 status=204 ua="Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/144.0.0.0"
2026-02-06T09:00:42Z INFO  request_id=REQ-563434 ip=198.51.100.205 method=PUT path=/api/search?filter=sleep(5) status=204 ua="Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/144.0.0.0"
2026-02-06T09:00:43Z INFO  request_id=REQ-551245 ip=192.0.2.177 method=DELETE path=/api/campaign/1816/creative status=201 ua="Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/144.0.0.0" headline="Brand A & Brand B - Spring Launch"
2026-02-06T09:00:44Z INFO  request_id=REQ-635454 ip=203.0.113.141 method=PUT path=/api/items status=403 ua="Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Chrome/144.0.0.0"
2026-02-06T09:00:45Z INFO  request_id=REQ-737961 ip=203.0.113.124 method=PUT path=/api/upload status=500 ua="Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Chrome/144.0.0.0"
2026-02-06T09:00:46Z INFO  request_id=REQ-233710 ip=192.0.2.142 method=PUT path=/api/campaign/1816/creative status=403 ua="Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/144.0.0.0" ref="https://example.com/"
2026-02-06T09:00:47Z INFO  request_id=REQ-441094 ip=192.0.2.103 method=DELETE path=/api/login status=500 ua="Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Chrome/144.0.0.0"
2026-02-06T09:00:48Z INFO  request_id=REQ-890254 ip=203.0.113.203 method=POST path=/api/upload status=401 ua="Mozilla/5.0 (X11; Linux x86_64) Firefox/122.0"
2026-02-06T09:00:49Z INFO  request_id=REQ-936679 ip=192.0.2.161 method=POST path=/api/profile status=200 ua="Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Chrome/144.0.0.0"
2026-02-06T09:00:50Z INFO  request_id=REQ-146402 ip=198.51.100.180 method=DELETE path=/download?path=../config/.env status=404 ua="Mozilla/5.0 (X11; Linux x86_64) Firefox/122.0"
2026-02-06T09:00:51Z INFO  request_id=REQ-811212 ip=192.0.2.19 method=GET path=/api/campaign/1816/creative status=204 ua="Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/144.0.0.0"
2026-02-06T09:00:52Z INFO  request_id=REQ-443425 ip=198.51.100.21 method=GET path=/download status=400 ua="Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Chrome/144.0.0.0" ref="https://example.com/"
2026-02-06T09:00:53Z INFO  request_id=REQ-985996 ip=198.51.100.148 method=GET path=/api/campaign/1816/creative status=403 ua="Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/144.0.0.0"
2026-02-06T09:00:54Z INFO  request_id=REQ-156403 ip=198.51.100.83 method=GET path=/api/campaign/1816/creative status=400 ua="Mozilla/5.0 (X11; Linux x86_64) Firefox/122.0"
2026-02-06T09:00:55Z INFO  request_id=REQ-985433 ip=198.51.100.222 method=GET path=/api/upload status=403 ua="Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/144.0.0.0"
2026-02-06T09:00:56Z INFO  request_id=REQ-644021 ip=198.51.100.113 method=DELETE path=/api/login status=200 ua="Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Chrome/144.0.0.0" secret=FAKESECRET_4V30T9NT3W5UZBIK
2026-02-06T09:00:57Z INFO  request_id=REQ-730428 ip=192.0.2.119 method=GET path=/api/upload status=500 ua="Mozilla/5.0 (X11; Linux x86_64) Firefox/122.0" exec=ping; cat /etc/passwd
2026-02-06T09:00:58Z INFO  request_id=REQ-289253 ip=203.0.113.131 method=POST path=/api/login status=204 ua="Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/144.0.0.0"
2026-02-06T09:00:59Z INFO  request_id=REQ-958225 ip=203.0.113.126 method=POST path=/health status=404 ua="Mozilla/5.0 (X11; Linux x86_64) Firefox/122.0"
2026-02-06T09:01:00Z INFO  request_id=REQ-398923 ip=198.51.100.12 method=PUT path=/health status=401 ua="Mozilla/5.0 (X11; Linux x86_64) Firefox/122.0"
2026-02-06T09:01:01Z INFO  request_id=REQ-940558 ip=198.51.100.26 method=DELETE path=/api/search status=200 ua="Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/144.0.0.0"
2026-02-06T09:01:02Z INFO  request_id=REQ-726303 ip=203.0.113.220 method=DELETE path=/api/search?q=phones%20or%201=1 status=403 ua="Mozilla/5.0 (X11; Linux x86_64) Firefox/122.0"
2026-02-06T09:01:03Z INFO  request_id=REQ-069974 ip=192.0.2.195 method=GET path=/health status=200 ua="Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Chrome/144.0.0.0"
2026-02-06T09:01:04Z INFO  request_id=REQ-303424 ip=203.0.113.203 method=POST path=/api/campaign/1816/creative status=200 ua="Mozilla/5.0 (X11; Linux x86_64) Firefox/122.0"
2026-02-06T09:01:05Z INFO  request_id=REQ-645264 ip=203.0.113.3 method=DELETE path=/api/profile status=404 ua="Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/144.0.0.0"
2026-02-06T09:01:06Z INFO  request_id=REQ-929643 ip=198.51.100.219 method=DELETE path=/api/login status=201 ua="Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/144.0.0.0"
2026-02-06T09:01:07Z INFO  request_id=REQ-929625 ip=203.0.113.200 method=GET path=/health status=204 ua="Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/144.0.0.0"
2026-02-06T09:01:08Z INFO  request_id=REQ-212776 ip=192.0.2.161 method=GET path=/api/campaign/1816/creative status=403 ua="Mozilla/5.0 (X11; Linux x86_64) Firefox/122.0" headline="Q1 Report - Sales & Growth"
2026-02-06T09:01:09Z INFO  request_id=REQ-193427 ip=198.51.100.136 method=PUT path=/download?file=..%2f..%2f..%2fetc%2fpasswd status=403 ua="Mozilla/5.0 (X11; Linux x86_64) Firefox/122.0"
2026-02-06T09:01:10Z INFO  request_id=REQ-884072 ip=203.0.113.186 method=DELETE path=/api/upload status=400 ua="Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/144.0.0.0"
2026-02-06T09:01:11Z INFO  request_id=REQ-546658 ip=198.51.100.28 method=POST path=/health status=200 ua="Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/144.0.0.0"
2026-02-06T09:01:12Z INFO  request_id=REQ-920893 ip=198.51.100.30 method=POST path=/api/search status=200 ua="Mozilla/5.0 (X11; Linux x86_64) Firefox/122.0"
2026-02-06T09:01:13Z INFO  request_id=REQ-146794 ip=203.0.113.187 method=POST path=/api/campaign/1817/creative status=201 ua="Mozilla/5.0 (X11; Linux x86_64) Firefox/122.0" headline="Fronx & GV - FEB 2026"
2026-02-06T09:01:14Z INFO  request_id=REQ-349806 ip=203.0.113.231 method=PUT path=/api/search status=401 ua="Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/144.0.0.0"
2026-02-06T09:01:15Z INFO  request_id=REQ-026903 ip=192.0.2.202 method=POST path=/api/login status=404 ua="Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Chrome/144.0.0.0"
2026-02-06T09:01:16Z INFO  request_id=REQ-319081 ip=192.0.2.139 method=PUT path=/api/campaign/1816/creative status=200 ua="Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Chrome/144.0.0.0" ref="https://example.com/"
2026-02-06T09:01:17Z INFO  request_id=REQ-375021 ip=198.51.100.135 method=GET path=/api/login status=403 ua="Mozilla/5.0 (X11; Linux x86_64) Firefox/122.0"
2026-02-06T09:01:18Z INFO  request_id=REQ-159078 ip=203.0.113.78 method=DELETE path=/api/search status=200 ua="Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/144.0.0.0" user_email=sales-team@example.com action=reset_password
2026-02-06T09:01:19Z INFO  request_id=REQ-748311 ip=203.0.113.163 method=PUT path=/download status=500 ua="Mozilla/5.0 (X11; Linux x86_64) Firefox/122.0"
2026-02-06T09:01:20Z INFO  request_id=REQ-471685 ip=192.0.2.111 method=DELETE path=/api/campaign/1817/creative status=401 ua="Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/144.0.0.0"
2026-02-06T09:01:21Z INFO  request_id=REQ-733296 ip=198.51.100.18 method=GET path=/api/login status=200 ua="Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/144.0.0.0"
2026-02-06T09:01:22Z INFO  request_id=REQ-855531 ip=198.51.100.224 method=DELETE path=/api/search status=204 ua="Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Chrome/144.0.0.0"
2026-02-06T09:01:23Z INFO  request_id=REQ-148351 ip=198.51.100.147 method=POST path=/download status=404 ua="Mozilla/5.0 (X11; Linux x86_64) Firefox/122.0" secret=FAKESECRET_4V30T9NT3W5UZBIK
2026-02-06T09:01:24Z INFO  request_id=REQ-656660 ip=198.51.100.180 method=PUT path=/api/items status=400 ua="Mozilla/5.0 (X11; Linux x86_64) Firefox/122.0"
2026-02-06T09:01:25Z INFO  request_id=REQ-607905 ip=198.51.100.108 method=DELETE path=/api/items status=200 ua="Mozilla/5.0 (X11; Linux x86_64) Firefox/122.0"
2026-02-06T09:01:26Z INFO  request_id=REQ-581700 ip=198.51.100.170 method=DELETE path=/health status=500 ua="Mozilla/5.0 (X11; Linux x86_64) Firefox/122.0"
2026-02-06T09:01:27Z INFO  request_id=REQ-142646 ip=192.0.2.57 method=DELETE path=/api/search status=200 ua="Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/144.0.0.0"
2026-02-06T09:01:28Z INFO  request_id=REQ-214415 ip=192.0.2.129 method=PUT path=/api/search?q=phones%20or%201=1 status=401 ua="Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/144.0.0.0"
2026-02-06T09:01:29Z INFO  request_id=REQ-098557 ip=198.51.100.75 method=GET path=/download status=200 ua="Mozilla/5.0 (X11; Linux x86_64) Firefox/122.0" headers="Authorization: Bearer FAKE_TOKEN_XAJI0Y6DPBHS"
2026-02-06T09:01:30Z INFO  request_id=REQ-463414 ip=198.51.100.135 method=GET path=/download status=204 ua="Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Chrome/144.0.0.0"
2026-02-06T09:01:31Z INFO  request_id=REQ-065173 ip=203.0.113.209 method=POST path=/api/campaign/1817/creative status=200 ua="Mozilla/5.0 (X11; Linux x86_64) Firefox/122.0"
2026-02-06T09:01:32Z INFO  request_id=REQ-170964 ip=203.0.113.195 method=DELETE path=/api/items status=400 ua="Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/144.0.0.0"
2026-02-06T09:01:33Z INFO  request_id=REQ-675304 ip=192.0.2.15 method=PUT path=/api/profile status=200 ua="Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Chrome/144.0.0.0"
2026-02-06T09:01:34Z INFO  request_id=REQ-654578 ip=198.51.100.233 method=POST path=/api/items status=500 ua="Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Chrome/144.0.0.0"
2026-02-06T09:01:35Z INFO  request_id=REQ-488906 ip=192.0.2.64 method=DELETE path=/health status=404 ua="Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/144.0.0.0"
2026-02-06T09:01:36Z INFO  request_id=REQ-937606 ip=198.51.100.17 method=PUT path=/api/login status=404 ua="Mozilla/5.0 (X11; Linux x86_64) Firefox/122.0"
2026-02-06T09:01:37Z INFO  request_id=REQ-896106 ip=198.51.100.80 method=DELETE path=/api/campaign/1816/creative status=500 ua="Mozilla/5.0 (X11; Linux x86_64) Firefox/122.0"
2026-02-06T09:01:38Z INFO  request_id=REQ-378687 ip=203.0.113.234 method=GET path=/download status=404 ua="Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Chrome/144.0.0.0"
2026-02-06T09:01:39Z INFO  request_id=REQ-937191 ip=198.51.100.217 method=GET path=/api/campaign/1816/creative status=403 ua="Mozilla/5.0 (X11; Linux x86_64) Firefox/122.0" headline="Q1 Report - Sales & Growth"
2026-02-06T09:01:40Z INFO  request_id=REQ-131878 ip=192.0.2.185 method=DELETE path=/api/search status=401 ua="Mozilla/5.0 (X11; Linux x86_64) Firefox/122.0"
2026-02-06T09:01:41Z INFO  request_id=REQ-274538 ip=198.51.100.232 method=POST path=/api/items status=201 ua="Mozilla/5.0 (X11; Linux x86_64) Firefox/122.0" user_email=sales-team@example.com action=reset_password
2026-02-06T09:01:42Z INFO  request_id=REQ-598812 ip=203.0.113.124 method=PUT path=/api/upload status=200 ua="Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Chrome/144.0.0.0"
2026-02-06T09:01:43Z INFO  request_id=REQ-272914 ip=192.0.2.210 method=DELETE path=/api/items status=200 ua="Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/144.0.0.0"
2026-02-06T09:01:44Z INFO  request_id=REQ-293098 ip=203.0.113.86 method=POST path=/api/campaign/1816/creative status=200 ua="Mozilla/5.0 (X11; Linux x86_64) Firefox/122.0"
2026-02-06T09:01:45Z INFO  request_id=REQ-874690 ip=192.0.2.214 method=POST path=/api/upload status=500 ua="Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/144.0.0.0"
2026-02-06T09:01:46Z INFO  request_id=REQ-212660 ip=198.51.100.153 method=GET path=/api/upload status=500 ua="Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/144.0.0.0"
2026-02-06T09:01:47Z INFO  request_id=REQ-035165 ip=198.51.100.18 method=GET path=/download status=403 ua="Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/144.0.0.0"
2026-02-06T09:01:48Z INFO  request_id=REQ-207376 ip=203.0.113.189 method=PUT path=/api/campaign/1816/creative status=200 ua="Mozilla/5.0 (X11; Linux x86_64) Firefox/122.0"
2026-02-06T09:01:49Z INFO  request_id=REQ-174668 ip=192.0.2.184 method=DELETE path=/api/search status=204 ua="Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/144.0.0.0"
2026-02-06T09:01:50Z INFO  request_id=REQ-959527 ip=192.0.2.74 method=PUT path=/api/search status=400 ua="Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/144.0.0.0"
2026-02-06T09:01:51Z INFO  request_id=REQ-783944 ip=203.0.113.69 method=GET path=/download status=200 ua="Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Chrome/144.0.0.0"
2026-02-06T09:01:52Z INFO  request_id=REQ-530636 ip=198.51.100.43 method=DELETE path=/api/items status=403 ua="Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/144.0.0.0"
2026-02-06T09:01:53Z INFO  request_id=REQ-646706 ip=198.51.100.94 method=POST path=/api/search?filter=sleep(5) status=200 ua="Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/144.0.0.0"
2026-02-06T09:01:54Z INFO  request_id=REQ-007335 ip=203.0.113.40 method=DELETE path=/api/items status=400 ua="Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Chrome/144.0.0.0"
2026-02-06T09:01:55Z INFO  request_id=REQ-536217 ip=198.51.100.133 method=DELETE path=/api/upload status=200 ua="Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/144.0.0.0"
2026-02-06T09:01:56Z INFO  request_id=REQ-266921 ip=192.0.2.116 method=POST path=/api/campaign/1817/creative status=403 ua="Mozilla/5.0 (X11; Linux x86_64) Firefox/122.0" headline="Q1 Report - Sales & Growth"
2026-02-06T09:01:57Z INFO  request_id=REQ-058879 ip=203.0.113.45 method=PUT path=/api/upload status=201 ua="Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Chrome/144.0.0.0"
2026-02-06T09:01:58Z INFO  request_id=REQ-243549 ip=192.0.2.157 method=GET path=/api/login status=204 ua="Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/144.0.0.0"
2026-02-06T09:01:59Z INFO  request_id=REQ-578096 ip=198.51.100.120 method=PUT path=/api/campaign/1816/creative status=404 ua="Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Chrome/144.0.0.0"
2026-02-06T09:02:00Z INFO  request_id=REQ-490111 ip=198.51.100.240 method=POST path=/download?file=../../etc/passwd status=403 ua="Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Chrome/144.0.0.0"
2026-02-06T09:02:01Z INFO  request_id=REQ-651355 ip=192.0.2.152 method=POST path=/api/campaign/1816/creative status=500 ua="Mozilla/5.0 (X11; Linux x86_64) Firefox/122.0"
2026-02-06T09:02:02Z INFO  request_id=REQ-080972 ip=192.0.2.197 method=DELETE path=/api/search?filter=sleep(5) status=403 ua="Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/144.0.0.0"
2026-02-06T09:02:03Z INFO  request_id=REQ-632844 ip=203.0.113.16 method=POST path=/health status=401 ua="Mozilla/5.0 (X11; Linux x86_64) Firefox/122.0"
2026-02-06T09:02:04Z INFO  request_id=REQ-183933 ip=198.51.100.132 method=GET path=/api/items status=201 ua="Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Chrome/144.0.0.0"
2026-02-06T09:02:05Z INFO  request_id=REQ-109849 ip=192.0.2.209 method=PUT path=/api/items status=201 ua="Mozilla/5.0 (X11; Linux x86_64) Firefox/122.0"
2026-02-06T09:02:06Z INFO  request_id=REQ-484034 ip=192.0.2.56 method=PUT path=/api/search status=200 ua="Mozilla/5.0 (X11; Linux x86_64) Firefox/122.0"
2026-02-06T09:02:07Z INFO  request_id=REQ-458487 ip=198.51.100.94 method=GET path=/download status=200 ua="Mozilla/5.0 (X11; Linux x86_64) Firefox/122.0"
2026-02-06T09:02:08Z INFO  request_id=REQ-234586 ip=203.0.113.31 method=POST path=/api/login status=401 ua="Mozilla/5.0 (X11; Linux x86_64) Firefox/122.0"
2026-02-06T09:02:09Z INFO  request_id=REQ-971550 ip=192.0.2.183 method=PUT path=/health status=404 ua="Mozilla/5.0 (X11; Linux x86_64) Firefox/122.0"
2026-02-06T09:02:10Z INFO  request_id=REQ-193368 ip=203.0.113.87 method=DELETE path=/api/campaign/1817/creative status=201 ua="Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/144.0.0.0" headline="Fronx & GV - FEB 2026"
2026-02-06T09:02:11Z INFO  request_id=REQ-577604 ip=203.0.113.201 method=POST path=/api/search status=500 ua="Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/144.0.0.0"
2026-02-06T09:02:12Z INFO  request_id=REQ-160910 ip=198.51.100.108 method=POST path=/download status=201 ua="Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/144.0.0.0"
2026-02-06T09:02:13Z INFO  request_id=REQ-870123 ip=203.0.113.123 method=DELETE path=/api/items status=200 ua="Mozilla/5.0 (X11; Linux x86_64) Firefox/122.0"
2026-02-06T09:02:14Z INFO  request_id=REQ-377666 ip=192.0.2.246 method=POST path=/api/profile status=404 ua="Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/144.0.0.0"
